Disease,Symptoms,Prevalence,Prevalence Rate_2023,Prevalence Rate_2022,Prevalence Rate_2021,Prevalence Rate_2020,Prevalence Rate_2019,Annual_therapy_Cost_2023,Average_therapy_cost_2019,Average_therapy_cost_2020,Average_therapy_cost_2021,Average_therapy_cost_2022,Annual_Therapy_Costs,Quality_of_Life,Morbidity,Mortality,Efficacy,Safety,Adverse_Events,Age_Group,Gender,Type_of_Drug,Target Population 2019,Target Population 2020,Target Population 2021,Target Population 2022,Target Population 2023,Market_Size_2019,Patient_Pool_2019,Market_Size_2020,Patient_Pool_2020,Market_Size_2021,Patient_Pool_2021,Market_Size_2022,Patient_Pool_2022
Scurvy,"Fatigue, swollen and bleeding gums, joint pain, anemia, skin issues (including rash and bruising), and poor wound healing.","Approximately 0.1% of the U.S. population is estimated to be affected by scurvy, with higher prevalence in certain groups, such as those with limited access to fresh fruits and vegetables.",0.001,0.00099,0.00098,0.00097,0.00096,90,88.4086444,88.93280632,85.95988539,83.33333333,"Estimated at $30 to $150, depending on the form and supplier of the supplement.","Significantly decreased quality of life when symptomatic, but resolves rapidly with proper treatment.",0.3,0.01,"High efficacy in alleviating symptoms of scurvy, with improvement typically seen within days of administration.",Generally safe with low risk of toxicity; excess in very high doses may cause gastrointestinal disturbances.,"Rare; potential for diarrhea, nausea, and abdominal cramps in sensitive individuals.","All age groups, but especially observed in adults and the elderly who may not have adequate diets.",Both genders are equally affected by vitamin C deficiency.,Vitamin supplement (nutritional supplement).,353974117.6,350825882.4,347677647.1,344529411.8,341381176.5,30042597.01,339815.1529,30263932.35,340301.1059,29288604.08,340724.0942,28423676.47,341084.1177
Septic Shock,"Low blood pressure, rapid heart rate, confusion, fever, shortness of breath, decreased urine output","Approximately 13 cases per 1,000 hospital admissions in the USA",0.002,0.00199,0.00198,0.00197,0.00196,175000,171905.6974,172924.9012,167144.2216,162037.037,"Approximately $150,000 to $200,000, depending on the duration of therapy and patient management needs in acute care settings",Quality of life can be significantly impacted due to organ dysfunction and longterm sequelae associated with septic shock,0.5,40.3,"GIAPREZA has been shown to improve blood pressure in patients with septic or neurogenic shock, with certain studies indicating a significant increase in mean arterial pressure","Generally considered safe; however, blood pressure should be closely monitored during administration","Hypotension, elevated blood pressure, tachycardia, and arrhythmias are noted adverse events","Primarily adults, but can be used in pediatric populations with careful monitoring",No gender preference; affects both males and females equally,Small molecule (angiotensin II infusion),406000000,402400000,398800000,395200000,391600000,1.36796E+11,795760,1.37082E+11,792728,1.31981E+11,789624,1.27434E+11,786448
Status Epilepticus,"Prolonged seizures, confusion, loss of consciousness, muscle spasms","Approximately 150,000 cases of status epilepticus occur in the USA annually",0.00003,0.00002,0.00001,0,0.00001,10000,9823.182711,9881.422925,9551.098376,9259.259259,"Approximately $8,000  $12,000",Status epilepticus can significantly decrease quality of life due to cognitive impairment and increased risk of injury,0.25,0.2,NAYZILAM has shown efficacy in terminating seizure episodes with rapid onset of action,"Generally considered safe for use, with a favorable safety profile in acute settings","Common adverse events include sedation, somnolence, dizziness, and potential respiratory depression",Approved for use in adults and children aged 12 years and older,No specific genderbased restrictions; used in both males and females,Nasal spray formulation of the small molecule drug midazolam,406000000,402400000,398800000,395200000,391600000,39882121.81,4060,38089780.32,0,48089780.32,3988,73185185.19,7904
Subarachnoid Hemorrhage (SAH),"Sudden severe headache, nausea, vomiting, sensitivity to light, stiff neck, confusion, loss of consciousness","Approximately 910 cases per 100,000 people annually in the USA",0.000095,0.000085,0.000075,0.000065,0.000055,3500,3438.113949,3458.498024,3342.884432,3240.740741,"Approximately $2,000  $5,000, depending on dosage and treatment duration.",Quality of life can be significantly impacted postSAH due to complications such as cognitive deficits and physical disabilities; many patients experience persistent problems.,0.3,0.35,"Nimodipine is effective in reducing the incidence of delayed cerebral ischemia due to vasospasm following SAH, with efficacy rates around 30%.","Generally safe when used as prescribed, with close monitoring necessary for adverse events.","Common adverse events may include hypotension, headache, gastrointestinal disturbances, and flushing; serious events may include severe hypotension and tachycardia.","Primarily adults aged 4070 years, though it can occur in younger individuals.","More prevalent in females, but the overall incidence rates are not significantly different between genders.",Calcium channel blocker (small molecule).,406000000,402400000,398800000,395200000,391600000,76773084.48,22330,90460474.31,26156,99985673.35,29910,108862963,33592
Sunburn,"Redness, pain, swelling, blistering, peeling skin, heat sensation.",Approximately 35% of adults in the USA report experiencing sunburn each year.,0.35,0.34999,0.34998,0.34997,0.34996,20,19.64636542,19.76284585,19.10219675,18.51851852,Approximately $10 to $30 for overthecounter topical gels.,"Moderate impact during acute phase, generally resolves quickly; can lead to longterm skin damage and increased risk of skin cancer if recurrent.",0.2,0.01,"Generally effective for symptomatic relief of pain, redness, and inflammation associated with sunburn.",Generally safe when used as directed; low risk of systemic side effects.,"Localized irritation, allergic reactions, and skin sensitivity in some users.",All age groups (typically used by adults and children).,Both genders equally affected; usage may vary based on sun exposure habits.,Topical analgesic and antiinflammatory gel (not a prescription drug).,406000000,402400000,398800000,395200000,391600000,2791429470,142083760,2783160632,140827928,2666132264,139572024,2561408296,138316048
Syphilis,"Primary stage (chancre), secondary stage (rash, fever, sore throat), latent stage (usually asymptomatic), tertiary stage (serious complications affecting the heart, brain, and other organs)",Approximately 0.3% of the U.S. population (2019 CDC data),0.003,0.00299,0.00298,0.00297,0.00296,300,294.6954813,296.4426877,286.5329513,277.7777778,"Estimated around $100  $500, depending on frequency of treatment and healthcare coverage.","Can severely impact physical and psychological wellbeing if untreated, though effective treatment improves quality of life significantly.",0.2,0.02,"Approximately 95% effective with proper administration of benzathine penicillin G, the active ingredient in Bicillin CR.",Generally safe when administered appropriately; allergic reactions can occur but are rare.,"Allergic reactions (itching, rash), injection site reactions (pain, swelling), rare cases of anaphylaxis.",Primarily affects adults but can occur in pediatric populations; Bicillin CR is also used in specific pediatric cases.,"Affects all genders, though incidence can vary by sexual behavior and practices.",Antibiotic (penicillin class),406000000,402400000,398800000,395200000,391600000,354153241.7,1201760,354286956.5,1195128,340522636.1,1188424,328235555.6,1181648
Thrombocytopenia,"Easy bruising, prolonged bleeding, petechiae, fatigue, weakness","Approximately 10% in the general population, higher in certain underlying conditions",0.1,0.09999,0.09998,0.09997,0.09996,9519,9350.687623,9406.126482,9091.690544,8813.888889,"8,000  12,000",Can significantly decrease quality of life due to increased risk of bleeding and associated anxiety,0.15,0.05,Generally effective in increasing platelet count in patients,"Generally welltolerated; however, careful monitoring is required","Headache, dizziness, allergic reactions, elevated liver enzymes","Mostly adults, but can also affect children depending on the cause","Affects both genders equally, although certain causes may be more prevalent in one gender",Small molecules,406000000,402400000,398800000,395200000,391600000,3.79486E+11,40583760,3.78389E+11,40227928,3.62504E+11,39872024,3.4829E+11,39516048
Tourette Syndrome,"Involuntary motor and vocal tics, repetitive movements, and sounds.","Approximately 0.5% to 1% in children, with a lower prevalence in adults.",0.0075,0.00749,0.00748,0.00747,0.00746,1780,1748.526523,1758.893281,1700.095511,1648.148148,"Approximately 1,200  2,500 depending on dosage and treatment duration.","Can significantly impact social functioning, educational achievement, and emotional wellbeing, reducing overall quality of life.",0.3,0.01,"Generally effective in reducing tic severity, with about 4070% of patients experiencing improvement.","Considered relatively safe when prescribed appropriately, although it requires monitoring due to potential side effects.","Common adverse events include sedation, depression, and fatigue.","Primarily used in children and adolescents, but may be prescribed to adults as well.","No significant gender differences in prevalence; however, males are more likely to present with more severe symptoms.",Small molecules (specifically a monoamine depleting agent).,406000000,402400000,398800000,395200000,391600000,5295867191,3028760,5287106561,3005928,5071425712,2983024,4878597630,2960048
Trichomoniasis,"Vaginal discharge, itching, irritation, discomfort during urination or sexual intercourse; in men, may cause urethral irritation or discharge.",Approximately 3.7 million cases in the USA; about 3% of the sexually active population is affected annually.,0.00001,0,0.00001,0.00002,0.00003,400,392.9273084,395.256917,382.0439351,370.3703704,"Approximately $300 to $500, depending on the healthcare provider and any associated testing.",Can significantly impact quality of life due to symptoms and potential stigma; untreated infections may lead to complications or increased risk of HIV transmission.,0.2,0,"Generally, KYZATREX has a high cure rate with a single dose for adults (about 95% effective).","Considered safe for use in patients with trichomoniasis; however, contraindications may exist in some special populations.","Possible adverse events include nausea, vomiting, abdominal discomfort, and allergic reactions in some cases, though these are rare.",Primarily affects sexually active adults (ages 18 to 49 years).,"Affects both men and women, but prevalence is higher in women.",Small molecule antibiotic (used specifically for treating trichomoniasis).,406000000,402400000,398800000,395200000,391600000,4785854.617,12180,3181027.668,8048,1523591.213,3988,2723591.213,0
Uveitis,"Eye redness, blurred vision, light sensitivity, floaters, pain in the eye","Approximately 38,000 cases of uveitis are reported annually in the USA",0.000001,0.000009,0.000019,0.000029,0.000039,21500,21119.84283,21245.05929,20534.86151,19907.40741,"Approximately $18,000  $25,000 per implant, depending on insurance coverage and additional treatments","Can significantly affect daily activities and mental health, leading to a reduced quality of life",0.3,0.01,Clinical studies show that YUTIQ provides sustained reduction in inflammation with improved visual outcomes in 7080% of patients,Generally welltolerated; ongoing monitoring is necessary due to potential side effects,"Increased intraocular pressure (IOP), cataract formation, eye pain, and retinal detachment",Primarily adults aged 1865 years,"Affects both males and females equally, though incidence can vary based on underlying autoimmune conditions",Implant (sustainedrelease corticosteroid),406000000,402400000,398800000,395200000,391600000,334411591.4,15834,247921343.9,11669.6,155596752.6,7577.2,70806666.67,3556.8
Ventricular Tachycardia,"Palpitations, dizziness, lightheadedness, chest pain, shortness of breath, fainting",Approximately 13% of the general population (varies with underlying heart disease),0.02,0.01999,0.01998,0.01997,0.01996,3000,2946.954813,2964.426877,2865.329513,2777.777778,"Approximately $1,000  $5,000 (varies based on insurance and usage)","Can be significantly affected due to the risk of serious complications, anxiety about episodes, and limitations in physical activity",0.3,1020.1,Effective in approximately 6080% of patients for managing ventricular tachycardia,"Generally well tolerated; considered safe when monitored, but may have significant interactions","Common: dizziness, blurred vision; Serious: arrhythmias, hypotension, heart block",Adults (typically middleaged and older patients),"More common in males, though women may experience different presentations",Antiarrhythmic medication (small molecule),203200000,201400000,199600000,197800000,196000000,11952471513,4055872,11922800395,4021958,11426957020,3988008,10983394444,3954022
Vitiligo,"Depigmented skin patches, changes in skin color, potential psychological distress",Approximately 0.5% to 2% of the population in the USA,0.0125,0.01249,0.01248,0.01247,0.01246,1250,1227.897839,1235.177866,1193.887297,1157.407407,"Estimated at $500 to $2,000 depending on treatment frequency and healthcare provider fees",Significantly affected due to visible changes in appearance; can lead to social anxiety and depression,0.3,0,Effective in repigmentation of skin in many patients; studies suggest up to 50% improvement in some cases,Generally well tolerated; considered safe for topical use,"Local irritation, erythema, burning sensation at application site","Commonly affects individuals aged 10 to 30 years, but can occur at any age",Affects both genders equally,Topical solution / Small molecule,344400000,341400000,338400000,335400000,332400000,5269184676,4291224,5258470850,4257258,5042063037,4223232,4848548611,4189146
Yellow Fever,"Fever, chills, loss of appetite, muscle pain, headaches, nausea, and abdominal pain; severe cases can lead to liver damage, bleeding, and organ failure.","Approximately 200,000 cases of yellow fever occur worldwide annually, with the majority in Africa and South America; in the USA, vaccination is recommended for travelers to endemic areas, but native cases are extremely rare.",0.00002,0.00001,0,0.00001,0.00002,225,221.021611,222.3320158,214.8997135,208.3333333,"Approximately $150$300 for the vaccination, depending on provider and location, but variable since it may not be needed annually if vaccinated before traveling to endemic areas.","Can be significantly affected in those who contract the disease, particularly during severe infection; survivors may experience longterm health issues.",0.5,20.5,Highly effective; one dose provides immunity in 95% of vaccinated individuals.,"Generally safe; mild side effects are typical and include soreness at the injection site, fever, and headache. Serious side effects are rare.","Serious adverse events include allergic reactions and neurological disorders, but occur at a very low rate (approximately 1 in 100,000 to 1 in 1 million doses).",Recommended for individuals aged 9 months and older.,Both males and females are equally prone to vaccination and disease.,Vaccine (live attenuated viral vaccine).,365400000,362200000,359000000,355800000,352600000,1615225.933,7308,805286.5613,3622,885286.5613,0,8805286.561,3558
